gene	gene_id	polyA_length	G_readsnum	average_G_content
AT2G32870|AT2G32870.2	AT2G32870	36	7	0.003751705
AT3G16470|AT3G16470.2	AT3G16470	35	8	0.003578399
AT4G23650|AT4G23650.1	AT4G23650	39	10	0.003995083
AT2G38710|AT2G38710.2	AT2G38710	32	5	0.001799208
AT2G24420|AT2G24420.1	AT2G24420	31.5	6	0.002077562
AT5G24314|AT5G24314.1	AT5G24314	29	4	0.001618778
AT5G13650|AT5G13650.2	AT5G13650	38	6	0.002033898
AT3G14110|AT3G14110.1	AT3G14110	31	7	0.00414625
AT3G19700|AT3G19700.1	AT3G19700	29	6	0.002328289
AT3G61980|AT3G61980.1	AT3G61980	34	3	0.001083424
AT1G56700|AT1G56700.4	AT1G56700	35.5	3	0.001700102
AT4G18280|AT4G18280.1	AT4G18280	35.5	7	0.002413793
AT3G16470|AT3G16470.1	AT3G16470	36.5	10	0.004066418
AT3G19130|AT3G19130.1	AT3G19130	33	9	0.003665689
AT3G57040|AT3G57040.1	AT3G57040	30	8	0.003676471
AT4G18970|AT4G18970.1	AT4G18970	33.5	8	0.00316567
AT5G59310|AT5G59310.1	AT5G59310	28	10	0.004998078
AT2G40840|AT2G40840.1	AT2G40840	28	7	0.002922756
AT1G29150|AT1G29150.1	AT1G29150	37.5	6	0.002198492
AT4G21620|AT4G21620.2	AT4G21620	32	9	0.003701211
AT1G67105|AT1G67105.1	AT1G67105	42.5	10	0.003481521
AT4G25080|AT4G25080.2	AT4G25080	41.5	14	0.005094396
AT3G09850|AT3G09850.1	AT3G09850	34.5	8	0.003009027
AT3G52960|AT3G52960.1	AT3G52960	26	17	0.008481422
AT2G45245|AT2G45245.3	AT2G45245	10	1	0.002152853
AT1G36980|AT1G36980.2	AT1G36980	28	3	0.001665973
AT4G00895|AT4G00895.1	AT4G00895	39	3	0.0016072
AT1G74950|AT1G74950.1	AT1G74950	33	5	0.002535313
AT5G42765|AT5G42765.1	AT5G42765	30	4	0.001433692
AT4G39300|AT4G39300.1	AT4G39300	31	2	0.000785855
AT5G66510|AT5G66510.1	AT5G66510	31	3	0.001443001
AT2G29420|AT2G29420.1	AT2G29420	34	6	0.002145923
AT3G62830|AT3G62830.1	AT3G62830	29	2	0.000757289
AT2G35260|AT2G35260.1	AT2G35260	41	3	0.000912686
AT4G02380|AT4G02380.3	AT4G02380	34	5	0.002132954
AT2G34460|AT2G34460.1	AT2G34460	34	6	0.002601263
AT3G11090|AT3G11090.1	AT3G11090	27	5	0.002478315
AT1G05835|AT1G05835.1	AT1G05835	28	8	0.004086637
AT1G74950|AT1G74950.2	AT1G74950	31	5	0.00198334
AT2G44160|AT2G44160.1	AT2G44160	30	6	0.002277904
AT3G61200|AT3G61200.1	AT3G61200	39	10	0.003768844
AT2G35605|AT2G35605.1	AT2G35605	33	8	0.003317361
AT4G25740|AT4G25740.2	AT4G25740	31	5	0.002617801
AT5G26742|AT5G26742.2	AT5G26742	39	8	0.003287311
AT1G53670|AT1G53670.2	AT1G53670	31	7	0.002543605
AT2G46080|AT2G46080.1	AT2G46080	31	9	0.004069552
AT5G52970|AT5G52970.2	AT5G52970	34	10	0.004152249
AT3G04720|AT3G04720.1	AT3G04720	39	6	0.001937984
AT3G49120|AT3G49120.1	AT3G49120	36	8	0.003993344
AT4G27600|AT4G27600.1	AT4G27600	34	11	0.006007067
AT3G02380|AT3G02380.1	AT3G02380	29	9	0.003875969
AT4G39260|AT4G39260.3	AT4G39260	32	12	0.004867872
AT3G56950|AT3G56950.1	AT3G56950	20	4	0.002366864
AT1G10500|AT1G10500.1	AT1G10500	31	2	0.00074599
AT1G74020|AT1G74020.1	AT1G74020	22	4	0.002298851
AT1G54520|AT1G54520.1	AT1G54520	35.5	4	0.002498216
AT5G57460|AT5G57460.1	AT5G57460	35	5	0.00172117
AT2G21600|AT2G21600.1	AT2G21600	35	5	0.001814224
AT5G24165|AT5G24165.1	AT5G24165	26.5	4	0.003076923
AT5G35100|AT5G35100.3	AT5G35100	32.5	5	0.002156722
AT5G43330|AT5G43330.1	AT5G43330	37	3	0.001041667
AT1G15230|AT1G15230.1	AT1G15230	29	1	0.000394477
AT2G02050|AT2G02050.1	AT2G02050	39	2	0.000919118
AT3G16080|AT3G16080.1	AT3G16080	28.5	4	0.001622718
AT5G42960|AT5G42960.1	AT5G42960	34.5	5	0.001764914
AT4G26410|AT4G26410.1	AT4G26410	37	6	0.00204988
AT5G28750|AT5G28750.1	AT5G28750	34.5	6	0.00211491
AT4G02580|AT4G02580.1	AT4G02580	29	7	0.002673797
AT5G24314|AT5G24314.2	AT5G24314	25	9	0.003682488
AT1G03630|AT1G03630.2	AT1G03630	37	6	0.002583979
AT2G24420|AT2G24420.2	AT2G24420	32.5	8	0.003809524
AT3G10420|AT3G10420.1	AT3G10420	41	8	0.002507837
AT3G54600|AT3G54600.1	AT3G54600	35.5	10	0.004020101
AT1G05163|AT1G05163.1	AT1G05163	28	30	0.013195876
AT3G11250|AT3G11250.1	AT3G11250	23	1	0.000491159
AT1G06430|AT1G06430.3	AT1G06430	35	2	0.00074184
AT2G29450|AT2G29450.1	AT2G29450	35	3	0.001072194
AT1G02150|AT1G02150.1	AT1G02150	38	3	0.00102145
AT1G72010|AT1G72010.1	AT1G72010	31	4	0.001536098
AT2G25490|AT2G25490.1	AT2G25490	37	3	0.001433178
AT4G00720|AT4G00720.1	AT4G00720	39	7	0.002365664
AT1G07985|AT1G07985.1	AT1G07985	30	6	0.0023465
AT1G24180|AT1G24180.1	AT1G24180	39	6	0.00196528
AT4G22820|AT4G22820.1	AT4G22820	31	3	0.001196649
AT4G34160|AT4G34160.1	AT4G34160	28	8	0.003972984
AT5G20190|AT5G20190.1	AT5G20190	24	7	0.002873563
AT5G22210|AT5G22210.2	AT5G22210	33	5	0.001884659
AT5G65360|AT5G65360.1	AT5G65360	37	8	0.003075871
AT2G21870|AT2G21870.2	AT2G21870	27	9	0.00427716
AT3G62820|AT3G62820.1	AT3G62820	34	7	0.004190476
AT4G13850|AT4G13850.4	AT4G13850	35	11	0.004682997
AT4G38160|AT4G38160.1	AT4G38160	36	6	0.002495544
AT3G63410|AT3G63410.1	AT3G63410	39	4	0.001575796
AT5G10780|AT5G10780.1	AT5G10780	35	10	0.006533575
AT5G19590|AT5G19590.1	AT5G19590	34	7	0.003046458
AT1G33140|AT1G33140.1	AT1G33140	28	10	0.004618938
AT2G11910|AT2G11910.2	AT2G11910	31	9	0.004101417
AT4G38160|AT4G38160.4	AT4G38160	33	8	0.002930403
AT1G70890|AT1G70890.1	AT1G70890	37	9	0.003056027
AT4G00360|AT4G00360.1	AT4G00360	31	9	0.004057543
AT1G27090|AT1G27090.1	AT1G27090	43	15	0.005452893
AT1G70770|AT1G70770.1	AT1G70770	35	20	0.012815818
AT3G08580|AT3G08580.1	AT3G08580	28	3	0.001708672
AT5G57990|AT5G57990.1	AT5G57990	36.5	3	0.001053371
AT1G23400|AT1G23400.1	AT1G23400	36	2	0.000732869
AT1G72030|AT1G72030.1	AT1G72030	23	4	0.001881468
AT5G27740|AT5G27740.1	AT5G27740	30	4	0.002313922
AT5G52970|AT5G52970.1	AT5G52970	38	3	0.001348618
AT1G22300|AT1G22300.2	AT1G22300	33.5	5	0.001891074
AT2G16500|AT2G16500.1	AT2G16500	28.5	6	0.00238379
AT1G07770|AT1G07770.3	AT1G07770	32.5	7	0.002596439
AT1G22410|AT1G22410.1	AT1G22410	28.5	5	0.00206697
AT3G16190|AT3G16190.1	AT3G16190	30.5	4	0.001560062
AT1G13380|AT1G13380.1	AT1G13380	38	7	0.002631579
AT2G26340|AT2G26340.1	AT2G26340	34	5	0.002239642
AT1G56700|AT1G56700.2	AT1G56700	34	5	0.001871257
AT2G15620|AT2G15620.1	AT2G15620	34	8	0.003614022
AT2G26900|AT2G26900.1	AT2G26900	38.5	5	0.001759944
AT2G46220|AT2G46220.1	AT2G46220	31.5	7	0.002943341
AT3G14230|AT3G14230.2	AT3G14230	31.5	5	0.001879699
AT4G15780|AT4G15780.1	AT4G15780	32.5	7	0.002590674
AT1G20930|AT1G20930.1	AT1G20930	27	2	0.001223491
AT4G22820|AT4G22820.2	AT4G22820	30	5	0.00245098
AT2G45245|AT2G45245.4	AT2G45245	10	1	0.001213592
AT1G09780|AT1G09780.1	AT1G09780	31	3	0.00122449
AT4G11790|AT4G11790.1	AT4G11790	30	4	0.001667361
AT4G16515|AT4G16515.2	AT4G16515	32	6	0.002360346
AT2G02760|AT2G02760.3	AT2G02760	31	1	0.000391236
AT2G20725|AT2G20725.1	AT2G20725	32	4	0.001498689
AT4G28660|AT4G28660.1	AT4G28660	39	6	0.002661344
AT4G32410|AT4G32410.1	AT4G32410	28	4	0.001536098
AT3G10770|AT3G10770.2	AT3G10770	38	5	0.001806358
AT3G59940|AT3G59940.1	AT3G59940	27	5	0.002588438
AT1G17860|AT1G17860.1	AT1G17860	38	9	0.004839267
AT4G17560|AT4G17560.1	AT4G17560	32	5	0.001901864
AT4G21620|AT4G21620.1	AT4G21620	31	9	0.003684598
AT1G05205|AT1G05205.1	AT1G05205	28	4	0.002236136
AT3G12490|AT3G12490.2	AT3G12490	30	7	0.003248071
AT5G42380|AT5G42380.1	AT5G42380	36	10	0.003702457
AT4G27230|AT4G27230.2	AT4G27230	31	10	0.004327301
AT4G36195|AT4G36195.1	AT4G36195	33	9	0.003694126
AT4G14430|AT4G14430.1	AT4G14430	38	13	0.004809344
AT5G23920|AT5G23920.1	AT5G23920	33	14	0.005787037
AT4G12600|AT4G12600.1	AT4G12600	38	14	0.005136986
AT1G64650|AT1G64650.2	AT1G64650	31.5	3	0.00154321
AT3G54560|AT3G54560.2	AT3G54560	29.5	3	0.001300954
AT3G14220|AT3G14220.1	AT3G14220	28.5	6	0.003498032
AT3G60820|AT3G60820.1	AT3G60820	30	3	0.001302649
AT4G14030|AT4G14030.2	AT4G14030	32	3	0.001221996
AT1G01800|AT1G01800.2	AT1G01800	30	4	0.002389486
AT1G76930|AT1G76930.2	AT1G76930	29	5	0.002029221
AT3G22630|AT3G22630.1	AT3G22630	28.5	2	0.000819336
AT3G43720|AT3G43720.2	AT3G43720	35	8	0.003402647
AT4G39950|AT4G39950.2	AT4G39950	36	9	0.00589753
AT5G54160|AT5G54160.1	AT5G54160	29.5	11	0.005106049
AT4G20850|AT4G20850.1	AT4G20850	29	10	0.004686834
AT4G35570|AT4G35570.1	AT4G35570	28	6	0.002931323
AT4G24275|AT4G24275.1	AT4G24275	32	7	0.002651515
AT1G04790|AT1G04790.1	AT1G04790	39	9	0.003211304
AT3G10020|AT3G10020.2	AT3G10020	42	6	0.001857585
AT2G37990|AT2G37990.1	AT2G37990	24	1	0.000471032
AT4G16442|AT4G16442.1	AT4G16442	26	3	0.001983143
AT1G32640|AT1G32640.1	AT1G32640	36	2	0.000740741
AT2G21870|AT2G21870.1	AT2G21870	27	3	0.001354402
AT1G27435|AT1G27435.1	AT1G27435	39	4	0.001294498
AT1G29330|AT1G29330.1	AT1G29330	30	4	0.002531646
AT1G34430|AT1G34430.1	AT1G34430	35	4	0.002581121
AT2G31160|AT2G31160.1	AT2G31160	29	7	0.003018542
AT5G65620|AT5G65620.1	AT5G65620	26	6	0.002735978
AT4G25740|AT4G25740.1	AT4G25740	27	5	0.00281294
AT3G56190|AT3G56190.1	AT3G56190	28	6	0.002557545
AT4G16983|AT4G16983.1	AT4G16983	32	6	0.003550296
AT4G28860|AT4G28860.1	AT4G28860	32	5	0.001995211
AT3G25220|AT3G25220.1	AT3G25220	34	5	0.001825484
AT3G61440|AT3G61440.4	AT3G61440	38	4	0.001411433
AT4G13180|AT4G13180.1	AT4G13180	40	7	0.002361673
AT2G20420|AT2G20420.1	AT2G20420	32	5	0.001940994
AT1G79600|AT1G79600.1	AT1G79600	26	7	0.002923977
AT3G01390|AT3G01390.3	AT3G01390	39	8	0.003863716
AT1G06400|AT1G06400.1	AT1G06400	34	7	0.00255195
AT4G12510|AT4G12510.1	AT4G12510	29	4	0.001622718
AT3G48420|AT3G48420.1	AT3G48420	32.5	3	0.001169591
AT1G04690|AT1G04690.1	AT1G04690	34	4	0.001549187
AT3G16570|AT3G16570.1	AT3G16570	28.5	4	0.001794527
AT5G65990|AT5G65990.1	AT5G65990	38	5	0.001808318
AT1G16350|AT1G16350.1	AT1G16350	33	4	0.00195848
AT1G32500|AT1G32500.1	AT1G32500	36.5	4	0.001480933
AT2G43750|AT2G43750.1	AT2G43750	38.5	7	0.003156787
AT3G62810|AT3G62810.1	AT3G62810	35	7	0.003053435
AT1G72710|AT1G72710.1	AT1G72710	33	8	0.004042631
AT3G10770|AT3G10770.1	AT3G10770	35	8	0.003913894
AT3G19910|AT3G19910.1	AT3G19910	32	5	0.002413516
AT4G18880|AT4G18880.1	AT4G18880	34	9	0.003790751
AT3G19820|AT3G19820.3	AT3G19820	30.5	6	0.002475248
AT3G44310|AT3G44310.1	AT3G44310	33	10	0.004852406
AT4G27230|AT4G27230.1	AT4G27230	30	7	0.002915452
AT4G20890|AT4G20890.1	AT4G20890	36.5	9	0.003256151
AT2G04630|AT2G04630.1	AT2G04630	36.5	15	0.005480453
AT1G74050|AT1G74050.1	AT1G74050	28.5	10	0.005562687
AT3G01715|AT3G01715.1	AT3G01715	27.5	15	0.00768188
AT2G01020|AT2G01020.1	AT2G01020	26.5	21	0.010130857
AT5G01590|AT5G01590.1	AT5G01590	25	2	0.001015744
AT1G52827|AT1G52827.1	AT1G52827	29	2	0.001349528
AT3G01820|AT3G01820.1	AT3G01820	29	2	0.001262095
AT4G29080|AT4G29080.1	AT4G29080	30	3	0.002539145
AT5G35100|AT5G35100.2	AT5G35100	26	3	0.001287001
AT2G02760|AT2G02760.2	AT2G02760	30	3	0.001325088
AT5G54760|AT5G54760.2	AT5G54760	33	4	0.00269438
AT5G55640|AT5G55640.1	AT5G55640	22	4	0.001960784
AT1G53280|AT1G53280.2	AT1G53280	36	5	0.002280502
AT2G31670|AT2G31670.1	AT2G31670	37	4	0.001504891
AT3G56190|AT3G56190.2	AT3G56190	26	4	0.002123142
AT4G33680|AT4G33680.1	AT4G33680	33	4	0.001610954
AT1G58030|AT1G58030.1	AT1G58030	31	7	0.002866503
AT3G45010|AT3G45010.1	AT3G45010	27	6	0.003022453
AT1G74920|AT1G74920.1	AT1G74920	33	5	0.00249066
AT1G64650|AT1G64650.1	AT1G64650	30	7	0.004304778
AT4G33960|AT4G33960.1	AT4G33960	36	4	0.001525553
AT5G59250|AT5G59250.1	AT5G59250	35	4	0.001464665
AT1G20140|AT1G20140.1	AT1G20140	41	8	0.004232804
AT1G44575|AT1G44575.1	AT1G44575	30	8	0.003211562
AT4G38800|AT4G38800.1	AT4G38800	40	10	0.00349284
AT5G14330|AT5G14330.1	AT5G14330	35	7	0.003442999
AT3G15450|AT3G15450.2	AT3G15450	41	13	0.004726536
AT5G53740|AT5G53740.1	AT5G53740	32	24	0.01010101
AT4G26230|AT4G26230.1	AT4G26230	30	3	0.001274427
AT4G39260|AT4G39260.1	AT4G39260	34	NA	NA
AT5G47190|AT5G47190.1	AT5G47190	25	2	0.001359927
AT1G72900|AT1G72900.1	AT1G72900	36.5	5	0.001920123
AT5G25280|AT5G25280.2	AT5G25280	32.5	2	0.000821693
AT5G59450|AT5G59450.1	AT5G59450	36	3	0.001233046
AT4G27260|AT4G27260.1	AT4G27260	40	5	0.002498216
AT1G25260|AT1G25260.1	AT1G25260	31	4	0.002047502
AT1G50920|AT1G50920.1	AT1G50920	29.5	6	0.002664298
AT1G53280|AT1G53280.1	AT1G53280	40	5	0.001816201
AT4G31300|AT4G31300.1	AT4G31300	32	3	0.001204819
AT5G15650|AT5G15650.1	AT5G15650	35	4	0.001611604
AT3G49870|AT3G49870.1	AT3G49870	24	7	0.004663212
AT1G06690|AT1G06690.1	AT1G06690	31	5	0.003035559
AT3G27380|AT3G27380.2	AT3G27380	33	8	0.004817342
AT3G51880|AT3G51880.3	AT3G51880	31	5	0.002227171
AT1G30880|AT1G30880.1	AT1G30880	30	10	0.004814004
AT1G56700|AT1G56700.3	AT1G56700	32	6	0.002529511
AT3G49310|AT3G49310.1	AT3G49310	31	6	0.002432104
AT4G21790|AT4G21790.1	AT4G21790	35	6	0.002353864
AT5G08410|AT5G08410.2	AT5G08410	37	7	0.002588757
AT1G18740|AT1G18740.1	AT1G18740	36.5	7	0.003025719
AT1G67865|AT1G67865.1	AT1G67865	42.5	6	0.00200736
AT1G73260|AT1G73260.1	AT1G73260	38	10	0.004113687
AT3G05890|AT3G05890.1	AT3G05890	27	11	0.005208333
AT4G26530|AT4G26530.2	AT4G26530	29	10	0.005982906
AT5G43970|AT5G43970.1	AT5G43970	32	5	0.002307692
AT3G25770|AT3G25770.1	AT3G25770	34	7	0.003793627
AT1G70370|AT1G70370.1	AT1G70370	34.5	12	0.004720692
AT2G04375|AT2G04375.1	AT2G04375	34.5	21	0.010376633
AT4G10320|AT4G10320.1	AT4G10320	32	4	0.001637331
AT1G31910|AT1G31910.1	AT1G31910	35	3	0.00120919
AT1G44800|AT1G44800.1	AT1G44800	29	4	0.001763668
AT5G64620|AT5G64620.1	AT5G64620	26	4	0.002048131
AT2G37250|AT2G37250.1	AT2G37250	32	3	0.001270648
AT2G41140|AT2G41140.1	AT2G41140	30	4	0.001694197
AT3G59600|AT3G59600.1	AT3G59600	34	3	0.001217039
AT4G11420|AT4G11420.1	AT4G11420	27	3	0.001347104
AT4G39950|AT4G39950.1	AT4G39950	36	4	0.001602564
AT5G09530|AT5G09530.1	AT5G09530	29	5	0.002354049
AT5G59970|AT5G59970.1	AT5G59970	37	5	0.001831502
AT3G57040|AT3G57040.2	AT3G57040	32	2	0.000862813
AT4G16515|AT4G16515.1	AT4G16515	32	4	0.001592991
AT5G63030|AT5G63030.1	AT5G63030	39	4	0.001548587
AT5G65010|AT5G65010.1	AT5G65010	36	7	0.004103406
AT1G04820|AT1G04820.1	AT1G04820	39	4	0.001755618
AT5G43350|AT5G43350.1	AT5G43350	37	7	0.00310559
AT1G76490|AT1G76490.1	AT1G76490	24	2	0.001038422
AT4G22513|AT4G22513.1	AT4G22513	33	2	0.000844595
AT5G18790|AT5G18790.1	AT5G18790	27	2	0.000948767
AT1G44575|AT1G44575.3	AT1G44575	35	9	0.004786598
AT1G66180|AT1G66180.1	AT1G66180	35	7	0.002685079
AT3G51010|AT3G51010.1	AT3G51010	31	7	0.002759164
AT5G09830|AT5G09830.1	AT5G09830	37	6	0.00351014
AT4G19840|AT4G19840.1	AT4G19840	40	8	0.003691399
AT1G67865|AT1G67865.2	AT1G67865	40	8	0.003242075
AT4G20300|AT4G20300.2	AT4G20300	35	7	0.003528028
AT3G52990|AT3G52990.1	AT3G52990	39	4	0.001536688
AT1G70710|AT1G70710.1	AT1G70710	33	12	0.005505309
AT4G30010|AT4G30010.1	AT4G30010	43	11	0.004665112
AT4G17090|AT4G17090.1	AT4G17090	35	4	0.001511145
AT5G06360|AT5G06360.1	AT5G06360	27.5	3	0.001402525
AT5G58030|AT5G58030.1	AT5G58030	24.5	4	0.001944579
AT2G33600|AT2G33600.1	AT2G33600	35	5	0.002470152
AT1G14980|AT1G14980.1	AT1G14980	28.5	4	0.002346316
AT3G18030|AT3G18030.1	AT3G18030	27	5	0.002948403
AT5G08540|AT5G08540.1	AT5G08540	35.5	3	0.001156515
AT5G14030|AT5G14030.1	AT5G14030	27.5	3	0.001874414
AT5G42130|AT5G42130.1	AT5G42130	37	3	0.001166861
AT5G52470|AT5G52470.1	AT5G52470	28	8	0.004105839
AT1G03330|AT1G03330.1	AT1G03330	41	8	0.002908033
AT1G26630|AT1G26630.1	AT1G26630	32	6	0.002999143
AT4G36420|AT4G36420.1	AT4G36420	37	4	0.001591723
AT5G54800|AT5G54800.1	AT5G54800	34	6	0.002904564
AT5G16160|AT5G16160.1	AT5G16160	33	8	0.003382664
AT3G20230|AT3G20230.1	AT3G20230	28	7	0.002999143
AT5G13170|AT5G13170.1	AT5G13170	26.5	7	0.00419972
AT1G74090|AT1G74090.1	AT1G74090	34	11	0.004560531
AT1G59900|AT1G59900.1	AT1G59900	34	3	0.002154244
AT1G79010|AT1G79010.1	AT1G79010	32	9	0.00365408
AT2G32870|AT2G32870.1	AT2G32870	34	14	0.006446414
AT5G46430|AT5G46430.1	AT5G46430	34	13	0.005080109
AT5G54070|AT5G54070.1	AT5G54070	36.5	20	0.008938982
AT3G12320|AT3G12320.1	AT3G12320	35	3	0.001665973
AT3G50000|AT3G50000.1	AT3G50000	27	3	0.001622499
AT3G52560|AT3G52560.4	AT3G52560	27	4	0.00191022
AT5G12210|AT5G12210.1	AT5G12210	36	3	0.001115242
AT1G63970|AT1G63970.1	AT1G63970	30	2	0.000875657
AT1G29150|AT1G29150.2	AT1G29150	36	5	0.001930502
AT1G80620|AT1G80620.1	AT1G80620	34	4	0.001664586
AT5G19940|AT5G19940.2	AT5G19940	30	7	0.004593477
AT3G05545|AT3G05545.1	AT3G05545	32	5	0.00216544
AT1G11210|AT1G11210.1	AT1G11210	35	5	0.00229709
AT3G44330|AT3G44330.1	AT3G44330	25	5	0.003167899
AT3G48330|AT3G48330.1	AT3G48330	25	5	0.00246063
AT3G56310|AT3G56310.1	AT3G56310	33	4	0.001657688
AT1G11430|AT1G11430.1	AT1G11430	27	8	0.004229323
AT3G15450|AT3G15450.1	AT3G15450	37	6	0.003101978
AT3G26060|AT3G26060.2	AT3G26060	39	7	0.003321033
AT3G20050|AT3G20050.1	AT3G20050	23	7	0.003663004
AT4G22212|AT4G22212.1	AT4G22212	36	6	0.002570694
AT2G18840|AT2G18840.1	AT2G18840	37	10	0.006072874
AT4G39520|AT4G39520.1	AT4G39520	25	4	0.001811594
AT5G08420|AT5G08420.1	AT5G08420	29	6	0.003274088
AT1G19110|AT1G19110.1	AT1G19110	33	7	0.003640777
AT3G12760|AT3G12760.1	AT3G12760	32	6	0.002545609
AT4G21980|AT4G21980.1	AT4G21980	34	9	0.004774306
AT4G21445|AT4G21445.1	AT4G21445	32	5	0.002095557
AT5G51980|AT5G51980.1	AT5G51980	36	10	0.005191693
AT1G15710|AT1G15710.1	AT1G15710	33	2	0.000825423
AT2G21180|AT2G21180.1	AT2G21180	31	3	0.001385042
AT4G23680|AT4G23680.1	AT4G23680	32.5	1	0.00043802
AT4G31300|AT4G31300.3	AT4G31300	33	4	0.002076412
AT5G24690|AT5G24690.1	AT5G24690	34.5	2	0.000863185
AT1G78670|AT1G78670.1	AT1G78670	23.5	5	0.002515091
AT3G51880|AT3G51880.4	AT3G51880	34.5	4	0.001767565
AT1G74260|AT1G74260.1	AT1G74260	39	6	0.003673469
AT2G13360|AT2G13360.1	AT2G13360	34	5	0.002587322
AT2G24820|AT2G24820.1	AT2G24820	34.5	4	0.002464066
AT3G48740|AT3G48740.1	AT3G48740	35	1	0.00043592
AT3G53260|AT3G53260.1	AT3G53260	43	3	0.000972447
AT5G66170|AT5G66170.2	AT5G66170	34	7	0.003421728
AT4G31300|AT4G31300.2	AT4G31300	35.5	7	0.00487013
AT4G02380|AT4G02380.1	AT4G02380	27.5	5	0.002365184
AT5G12210|AT5G12210.2	AT5G12210	38.5	8	0.004041146
AT1G11910|AT1G11910.2	AT1G11910	33.5	4	0.001679966
AT1G34418|AT1G34418.1	AT1G34418	34	4	0.001606426
AT2G24830|AT2G24830.1	AT2G24830	37.5	8	0.003582803
AT2G45470|AT2G45470.1	AT2G45470	30.5	2	0.000863558
AT5G08270|AT5G08270.1	AT5G08270	34.5	7	0.003357113
AT3G13772|AT3G13772.1	AT3G13772	29	8	0.004102097
AT2G02040|AT2G02040.1	AT2G02040	30	9	0.004014273
AT2G02760|AT2G02760.1	AT2G02760	31	9	0.003943909
AT5G66920|AT5G66920.1	AT5G66920	22.5	19	0.011128776
AT5G50250|AT5G50250.1	AT5G50250	29	3	0.002798507
AT2G19590|AT2G19590.1	AT2G19590	33	4	0.003005582
AT2G36580|AT2G36580.1	AT2G36580	30	4	0.002290426
AT3G55250|AT3G55250.1	AT3G55250	30	4	0.001714531
AT5G42820|AT5G42820.1	AT5G42820	38	2	0.000812018
AT1G29390|AT1G29390.1	AT1G29390	29	3	0.001372998
AT1G70600|AT1G70600.1	AT1G70600	25	3	0.001540041
AT4G10810|AT4G10810.1	AT4G10810	30	6	0.002722323
AT1G17100|AT1G17100.1	AT1G17100	33	2	0.00139795
AT2G45600|AT2G45600.1	AT2G45600	35	6	0.003043478
AT3G57610|AT3G57610.1	AT3G57610	27	4	0.002574665
AT3G62830|AT3G62830.2	AT3G62830	34	2	0.000865801
AT5G10780|AT5G10780.2	AT5G10780	33	3	0.001307759
AT1G28120|AT1G28120.1	AT1G28120	34	6	0.003202196
AT3G27380|AT3G27380.1	AT3G27380	36	7	0.002899751
AT4G23870|AT4G23870.1	AT4G23870	33	8	0.005560308
AT4G40040|AT4G40040.2	AT4G40040	30	3	0.001413761
AT5G44190|AT5G44190.2	AT5G44190	33	6	0.002435065
AT5G48800|AT5G48800.1	AT5G48800	32	5	0.00213858
AT5G64300|AT5G64300.1	AT5G64300	21	2	0.00174216
AT1G56340|AT1G56340.1	AT1G56340	32	5	0.002315887
AT1G75380|AT1G75380.1	AT1G75380	40	3	0.001886792
AT1G80300|AT1G80300.1	AT1G80300	34	8	0.003671409
AT5G55140|AT5G55140.1	AT5G55140	34	4	0.002131287
AT1G02560|AT1G02560.1	AT1G02560	38	9	0.004286828
AT1G20090|AT1G20090.1	AT1G20090	29	6	0.00391581
AT3G56310|AT3G56310.2	AT3G56310	34	6	0.002966102
AT5G66170|AT5G66170.3	AT5G66170	34	7	0.002997859
AT5G07470|AT5G07470.1	AT5G07470	37	10	0.00392773
AT5G41210|AT5G41210.1	AT5G41210	32	5	0.002299908
AT5G44650|AT5G44650.1	AT5G44650	29	8	0.006262042
AT1G09795|AT1G09795.1	AT1G09795	36	7	0.003132341
AT1G71340|AT1G71340.1	AT1G71340	32	11	0.005816555
AT1G80780|AT1G80780.1	AT1G80780	39	9	0.003859514
AT1G51360|AT1G51360.1	AT1G51360	31	NA	NA
AT1G65980|AT1G65980.2	AT1G65980	32.5	4	0.001811594
AT4G08920|AT4G08920.1	AT4G08920	32.5	5	0.002284148
AT1G74840|AT1G74840.1	AT1G74840	36	6	0.003265306
AT1G78210|AT1G78210.1	AT1G78210	28.5	3	0.001454898
AT2G38710|AT2G38710.1	AT2G38710	27	4	0.00209205
AT1G53910|AT1G53910.1	AT1G53910	31.5	6	0.00270514
AT1G58235|AT1G58235.1	AT1G58235	35	4	0.00255102
AT1G65490|AT1G65490.3	AT1G65490	33.5	7	0.002898551
AT2G02100|AT2G02100.1	AT2G02100	41.5	5	0.001877582
AT3G53500|AT3G53500.1	AT3G53500	25	4	0.002145923
AT5G54760|AT5G54760.3	AT5G54760	38	3	0.001145038
AT2G35810|AT2G35810.2	AT2G35810	39.5	4	0.002379064
AT5G18380|AT5G18380.2	AT5G18380	28	1	0.000458926
AT1G68520|AT1G68520.1	AT1G68520	30.5	7	0.003126396
AT1G57860|AT1G57860.1	AT1G57860	36	5	0.002171081
AT3G54050|AT3G54050.1	AT3G54050	39	6	0.003748438
AT3G61870|AT3G61870.1	AT3G61870	32.5	8	0.003970004
AT4G04040|AT4G04040.1	AT4G04040	32	7	0.004543389
AT2G32180|AT2G32180.1	AT2G32180	35.5	5	0.002893758
AT5G41700|AT5G41700.2	AT5G41700	40	8	0.002981737
AT3G55850|AT3G55850.2	AT3G55850	31	12	0.005679129
AT5G09585|AT5G09585.1	AT5G09585	33	16	0.008174387
AT5G13650|AT5G13650.1	AT5G13650	36	NA	NA
AT1G27310|AT1G27310.1	AT1G27310	28	4	0.00254065
